Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
20,0.001294262,0.001332658,0.001191967,0.00115616,0.001243222,0.001097402,0.001201824,0.001152852,0.001201157,0.001245387,0.001238157,0.001137593,0.001190517,0.001141794,0.001108199,0.001111363,0.001064327,0.000979752,0.000923046,0.001173241,0.001051552,0.000997274,0.001181988,0.001127704,0.001157959,0.001133565,0.001029775,0.001085039,0.001037549,0.001011499,0.000991051,0.001001534,0.000997491,0.000943778,0.000957824,0.000892808,0.000923629,0.001006216,0.000929844,0.000990412,0.000886124,0.000802941,0.000911141,0.000904666,0.000920278,0.000830296,0.000968464,0.000864022,0.00085242,0.000843724,0.000806179,0.000878467,0.00084237,0.000774792,0.000701995,0.00074676,0.000686558,0.000754971,0.000643543,0.000552259,0.000530317,0.000477803,0.000439998,0.000481735
21,0.001437743,0.001362538,0.001226054,0.001202905,0.001228017,0.001118989,0.001216243,0.001119902,0.001208542,0.001243763,0.001097376,0.001045855,0.001165002,0.001142625,0.001049312,0.001053595,0.001071447,0.000988468,0.001023452,0.001055278,0.001097654,0.001127196,0.001123798,0.00098257,0.001138766,0.001014439,0.000997319,0.001028382,0.00102637,0.000971652,0.000829925,0.00085334,0.000859868,0.000863033,0.000897179,0.000880122,0.000976842,0.000899265,0.000901,0.000943499,0.000899523,0.000901574,0.000891354,0.000841902,0.001036871,0.000953999,0.001063095,0.000909609,0.000838314,0.00086735,0.000803329,0.000827571,0.000837192,0.000635307,0.000736024,0.000692514,0.000737975,0.000637924,0.000668744,0.000675189,0.000546849,0.000452911,0.000477496,0.000489303
22,0.001429752,0.001403482,0.00124891,0.001180648,0.001261145,0.001132302,0.001212081,0.001143617,0.001237629,0.001235627,0.001207959,0.001160519,0.001087404,0.001024005,0.00100934,0.001117674,0.000955134,0.00094877,0.000931978,0.000988337,0.000942139,0.001098146,0.00109808,0.00094278,0.001071799,0.00103301,0.001047503,0.000993025,0.000930227,0.000899645,0.000871058,0.000859882,0.000868439,0.000845051,0.000873823,0.000894224,0.000883934,0.000916854,0.000928321,0.000994979,0.000889203,0.000908815,0.000923861,0.000896156,0.000886905,0.000940046,0.000914352,0.000962117,0.000874823,0.000893857,0.000849845,0.000927968,0.000855209,0.0008102,0.000714695,0.000751133,0.000708001,0.000728677,0.000603594,0.000599137,0.000581934,0.000497614,0.000430751,0.000477554
23,0.001464566,0.001430594,0.001291961,0.001220261,0.001262863,0.001108879,0.001193263,0.001103989,0.001153755,0.001170384,0.001044921,0.001085975,0.001024078,0.001138436,0.001019897,0.001031227,0.000907935,0.00093038,0.000890655,0.00091642,0.000983405,0.000983194,0.001045694,0.000969123,0.000895583,0.000912355,0.000925038,0.000979111,0.000876316,0.000827701,0.00085563,0.000893371,0.000701678,0.000826806,0.000783091,0.000849034,0.000826096,0.000931593,0.000855139,0.000995273,0.000988002,0.000852504,0.00085464,0.00087692,0.000891818,0.000870114,0.000924484,0.000995179,0.000944086,0.000971528,0.000791571,0.000823051,0.000847999,0.000870271,0.00079681,0.000769378,0.000718993,0.000752423,0.000651844,0.000684218,0.00050919,0.000578667,0.000518161,0.000571055
24,0.001487451,0.001376585,0.001290342,0.001216377,0.001211319,0.001112726,0.001163139,0.001103615,0.001124117,0.001153696,0.001004394,0.001041838,0.001078407,0.001012384,0.001101915,0.000983788,0.000889987,0.000878839,0.000948558,0.000844517,0.000796637,0.000883587,0.001060673,0.000926277,0.000862395,0.000938411,0.000852141,0.000969584,0.000886824,0.000858687,0.000861638,0.00084739,0.000747724,0.000797316,0.000746724,0.000803609,0.000835854,0.000819401,0.00094321,0.000891113,0.00090709,0.000936688,0.000894457,0.00088861,0.000907944,0.000878638,0.000957037,0.000987319,0.000935453,0.000966903,0.000989098,0.000838129,0.000848925,0.000753421,0.000716055,0.000732141,0.000783955,0.000715974,0.000673083,0.000641023,0.000513863,0.000492436,0.000537058,0.000533623
25,0.001533237,0.001395336,0.001299204,0.001249915,0.001240956,0.001153837,0.00114685,0.001145846,0.001107132,0.001116352,0.001003576,0.001000259,0.000943437,0.001068928,0.001009101,0.000918645,0.001026781,0.000836124,0.000967491,0.000903345,0.000871538,0.00089623,0.000932146,0.000895257,0.000933965,0.000862469,0.000848578,0.000943697,0.000901179,0.000874534,0.000816881,0.000826038,0.000838412,0.000801941,0.000766817,0.000762333,0.000791845,0.000835326,0.00088578,0.000926051,0.000922222,0.000840621,0.00088013,0.000897507,0.000901322,0.000943755,0.001039116,0.000968896,0.000938495,0.000933182,0.000908589,0.000958372,0.000856391,0.000834479,0.000817433,0.000795698,0.000733682,0.000717751,0.000727544,0.000609134,0.000647182,0.000578723,0.000617498,0.000478376
26,0.001610959,0.001378652,0.001302965,0.001202441,0.001236881,0.001159534,0.001170141,0.001123166,0.001096186,0.001138449,0.001112514,0.000905677,0.001069353,0.000959778,0.000991291,0.000998104,0.001063454,0.000908141,0.000941433,0.000876813,0.000920569,0.000958748,0.000921906,0.0008757,0.000899614,0.000898098,0.000936937,0.000938446,0.000949406,0.000885346,0.000836144,0.000942348,0.000841668,0.000823693,0.000777219,0.000842543,0.000854723,0.000803052,0.00083098,0.001002253,0.000934393,0.000909841,0.000871019,0.000972838,0.000928917,0.000853983,0.000914256,0.001038825,0.000979113,0.000913105,0.000878377,0.00091802,0.000829597,0.000836457,0.000740223,0.000726926,0.000792439,0.000810568,0.000797706,0.000635746,0.000584949,0.000610349,0.000605783,0.000705351
27,0.001629894,0.001355746,0.001349809,0.001298008,0.001244959,0.001220309,0.00121056,0.00113993,0.001129404,0.001107055,0.001074678,0.000904234,0.001021933,0.000958885,0.000997582,0.000941869,0.00095097,0.000933691,0.000916363,0.000964952,0.00088113,0.000890806,0.000980039,0.000880657,0.00087858,0.000982242,0.000913693,0.000853801,0.000975561,0.000902801,0.000896445,0.000787975,0.000886323,0.000889126,0.000782562,0.000812452,0.000817208,0.000845187,0.0008363,0.000937508,0.000862165,0.000925988,0.000970323,0.000924087,0.001040915,0.000898791,0.000872836,0.001024784,0.001012825,0.001037039,0.00099859,0.000976813,0.00079751,0.000874369,0.000793819,0.000845413,0.000777412,0.000789415,0.000732804,0.000685002,0.000622993,0.000574095,0.00063728,0.00064797
28,0.001659126,0.001465747,0.001366803,0.001264539,0.001297963,0.001251837,0.001244108,0.001166343,0.001133719,0.001149868,0.001065722,0.000964522,0.001040208,0.001075189,0.001033191,0.000964515,0.000930473,0.000918822,0.000914271,0.000945104,0.000905925,0.000825785,0.001028762,0.000879525,0.000811798,0.000902745,0.000899694,0.000951356,0.000840575,0.000890157,0.000866304,0.000856031,0.000879421,0.000935402,0.000874569,0.000908675,0.000848125,0.00089959,0.000858825,0.000957933,0.000870646,0.000945859,0.000915206,0.000937234,0.00101456,0.001010194,0.000921949,0.001038666,0.001021388,0.001014589,0.000920128,0.001005667,0.0009335,0.000871883,0.00067177,0.000755602,0.000841118,0.000834818,0.000845997,0.000703938,0.000726452,0.000654922,0.00058804,0.000640707
29,0.001667656,0.001471014,0.001450923,0.001384566,0.001286689,0.001246789,0.001284017,0.001203219,0.001180448,0.001179616,0.001062249,0.001129719,0.001086154,0.00104163,0.001089827,0.001159999,0.000834856,0.00099889,0.001021268,0.000972115,0.000915169,0.0009373,0.001015744,0.000978013,0.000894701,0.00084197,0.000967151,0.000893405,0.001014034,0.000869029,0.000957503,0.000869949,0.000871699,0.000853924,0.000800377,0.000841493,0.00078916,0.000904941,0.000899103,0.001035517,0.000931623,0.000952612,0.001003424,0.000906324,0.001027751,0.001002512,0.001041132,0.001027434,0.001065517,0.001046503,0.001052345,0.001002829,0.00098536,0.000901831,0.000833021,0.000922698,0.000788063,0.000868922,0.000815057,0.000787608,0.000749367,0.00072327,0.000694461,0.000710346
