Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
20,0.000910708,0.000754487,0.000672047,0.000643324,0.000562283,0.000553893,0.000610472,0.000555557,0.000551857,0.000495778,0.000401641,0.000465245,0.000390305,0.000485553,0.000415821,0.000475081,0.000372068,0.000417331,0.000380198,0.000512762,0.000433526,0.000465787,0.000410296,0.000452264,0.000417603,0.000390269,0.000394812,0.000419276,0.000329695,0.000383466,0.000348343,0.000366839,0.00033141,0.000314768,0.000314738,0.000336979,0.000318918,0.000350362,0.000295785,0.00028901,0.000299881,0.000336167,0.000356814,0.000265388,0.000275764,0.000330491,0.000294499,0.000302395,0.000302498,0.000315594,0.000285218,0.000264951,0.000288622,0.000271467,0.00027967,0.00025188,0.000213042,0.000238522,0.000240283,0.000206896,0.000179704,0.000213611,0.000189525,0.000185718
21,0.000954353,0.000797578,0.000711703,0.00067227,0.000586996,0.000584513,0.000618168,0.000590162,0.000579043,0.000504641,0.000454442,0.000478286,0.000474625,0.000477116,0.000447213,0.000375192,0.000434171,0.0003731,0.000396624,0.000448071,0.000411308,0.000416457,0.000466416,0.000415201,0.000396936,0.0004218,0.000370851,0.000357697,0.000350545,0.000332948,0.000309628,0.000334869,0.000330177,0.00031106,0.000303614,0.00028672,0.000286801,0.000325363,0.000335935,0.000346599,0.000308932,0.000338761,0.000323601,0.000313474,0.000316705,0.000352296,0.000347743,0.000276733,0.00035737,0.000283549,0.000320216,0.000294204,0.000277829,0.000299466,0.000250655,0.000234438,0.000276912,0.000260448,0.000254551,0.000161596,0.000231743,0.000214557,0.000203419,0.000214438
22,0.001026667,0.000865511,0.000773688,0.00072117,0.000629057,0.000631241,0.000640288,0.00064142,0.000621854,0.000525553,0.000568751,0.000501581,0.000450542,0.000429979,0.000447661,0.000453899,0.000391787,0.000399683,0.000443772,0.00043032,0.000469026,0.000457823,0.000418052,0.000356432,0.000415832,0.000398374,0.000438794,0.000452426,0.000376704,0.00035128,0.000363804,0.000360852,0.000275881,0.000297155,0.000309755,0.000356993,0.000276193,0.000281269,0.000304265,0.000309703,0.000363014,0.000320747,0.000279053,0.000315745,0.000316237,0.000279624,0.000310037,0.000336318,0.000373822,0.000328199,0.000303794,0.000261007,0.000320173,0.000284355,0.000274898,0.000249673,0.00024468,0.000250268,0.000201901,0.000181881,0.000231938,0.000175202,0.000211757,0.00024243
23,0.001046075,0.000882637,0.00079512,0.000740971,0.000657572,0.000651552,0.00066284,0.000648559,0.00063417,0.000546911,0.000539021,0.000502573,0.000482712,0.000473176,0.000485876,0.000472402,0.000472119,0.000440641,0.000450002,0.000451889,0.000389634,0.000451705,0.000406861,0.000402742,0.000427491,0.000366768,0.000479743,0.000434292,0.000398739,0.000440769,0.00040264,0.000308269,0.000284543,0.000316096,0.000313479,0.000368893,0.000318293,0.00031867,0.000331108,0.000283991,0.000366551,0.000312808,0.000271855,0.000290478,0.000293418,0.000321911,0.000282755,0.000306514,0.000238437,0.000349395,0.000300545,0.000299005,0.000301943,0.000328366,0.000307218,0.000241558,0.000229071,0.000246508,0.000252349,0.00025388,0.000240284,0.000210314,0.000209511,0.000236926
24,0.001106171,0.000934163,0.000848104,0.00079016,0.000713191,0.000687613,0.000701563,0.000670339,0.000661224,0.00058183,0.000607244,0.000487356,0.000400458,0.000448269,0.000508467,0.000513636,0.000501413,0.000405123,0.000526961,0.000434431,0.000406744,0.000417216,0.000451458,0.000409123,0.000473139,0.000435602,0.000401466,0.000415965,0.000373889,0.000442054,0.000313855,0.000405412,0.000309191,0.000313194,0.000297515,0.000277989,0.000344434,0.000313476,0.000341734,0.000330816,0.000319893,0.000315092,0.00034277,0.000296699,0.00031764,0.000302209,0.000368135,0.000307292,0.000323042,0.000359218,0.000285867,0.000325793,0.000277372,0.000279476,0.000266372,0.000274068,0.000291896,0.000253274,0.000217169,0.00025592,0.000243603,0.000212127,0.000210834,0.000220131
25,0.001197051,0.001011812,0.000925806,0.000862349,0.000791383,0.000728141,0.000745052,0.000695041,0.000691758,0.000621002,0.000540584,0.000578943,0.000549374,0.000563269,0.000549374,0.000522066,0.000473201,0.000503426,0.000427335,0.000479933,0.000443164,0.000426039,0.000486258,0.000373967,0.000468194,0.000447617,0.000438474,0.000427462,0.000385711,0.000376705,0.000349785,0.000419741,0.000395559,0.000384874,0.000301852,0.000324515,0.000349036,0.000322824,0.00033912,0.000334417,0.000336837,0.000321643,0.000314346,0.000297992,0.000305464,0.00035512,0.000337798,0.000390258,0.000284117,0.000355843,0.000315374,0.000329582,0.000307557,0.000324088,0.000292916,0.000291171,0.000238092,0.000263591,0.000296677,0.000253983,0.000266388,0.000247097,0.000243932,0.000245081
26,0.001244991,0.001053285,0.000971357,0.000904563,0.000843771,0.000766352,0.00078638,0.000716073,0.00071926,0.000658677,0.000582181,0.000611701,0.00053434,0.00054067,0.000525468,0.000566517,0.000488643,0.000473021,0.000495977,0.00052649,0.000426208,0.000468316,0.00041697,0.000486687,0.000528215,0.000446252,0.000385901,0.000456764,0.000467361,0.000424195,0.000445533,0.000397244,0.000410029,0.000397517,0.000367401,0.000361719,0.000349632,0.00032729,0.000298584,0.000381917,0.000338381,0.000329548,0.00038979,0.00033798,0.000337153,0.00037927,0.00030898,0.000329567,0.000362226,0.000340051,0.000387321,0.000326973,0.000387329,0.00035403,0.000326148,0.000347818,0.000301295,0.000320723,0.000290021,0.00026951,0.000270097,0.000210314,0.000263491,0.000262407
27,0.001315973,0.001114357,0.00103583,0.000964375,0.000914084,0.000816991,0.000840698,0.00074708,0.000757492,0.000707575,0.000474686,0.000558961,0.000576757,0.000562881,0.000557478,0.000561753,0.000530652,0.00055941,0.000539656,0.000456574,0.000492076,0.000463888,0.000537905,0.000414617,0.000417439,0.000515245,0.000443773,0.000513143,0.000444146,0.000518282,0.000447244,0.000410092,0.000405382,0.00042394,0.000320995,0.000368822,0.000358852,0.000380467,0.00031,0.000366324,0.000379073,0.000293976,0.000442634,0.000373557,0.000473659,0.000396308,0.000307538,0.000366392,0.000341514,0.000375439,0.000365,0.000323442,0.000343801,0.000318685,0.000384065,0.000309796,0.000250533,0.000292749,0.000285517,0.000330501,0.000348294,0.000271462,0.000291659,0.000233351
28,0.001350313,0.001139317,0.001075218,0.001005618,0.000947869,0.000859748,0.000873795,0.000786657,0.000791501,0.000738565,0.000580061,0.000635699,0.000569638,0.000605983,0.000644842,0.000677966,0.000580912,0.000561678,0.00070074,0.00051437,0.000502544,0.000489958,0.000473636,0.00044927,0.00050686,0.000477552,0.00044059,0.000547442,0.000498824,0.000417801,0.000454102,0.000427234,0.000424683,0.000426223,0.000434553,0.000380995,0.000382009,0.000369959,0.000408536,0.000394449,0.000390233,0.000418217,0.000413406,0.000338499,0.000370165,0.000419706,0.000329428,0.000390733,0.000455357,0.000365069,0.00033894,0.000338897,0.00039628,0.00035031,0.000338363,0.000381946,0.00032075,0.00031631,0.000342081,0.0003649,0.00029548,0.000331222,0.000334519,0.000341104
29,0.001395572,0.001173194,0.00112419,0.001056148,0.000990033,0.000915157,0.000918633,0.000837861,0.00083658,0.000779805,0.000679212,0.000729348,0.000780945,0.000728566,0.000636829,0.000592519,0.000605671,0.000582652,0.000524362,0.000605206,0.000549866,0.000585287,0.000556738,0.000531773,0.000559579,0.000481269,0.000503749,0.000549086,0.000542469,0.00050837,0.000449828,0.000437235,0.000444876,0.000479799,0.000398915,0.000450445,0.000444409,0.00037683,0.00046791,0.000404423,0.000364802,0.000415446,0.000366974,0.000424889,0.000386126,0.000400652,0.000460214,0.000408147,0.00035464,0.000394789,0.00039832,0.00038552,0.000440763,0.000385291,0.00037551,0.000331197,0.000385434,0.000374714,0.000370752,0.000288918,0.000293768,0.000276407,0.000295949,0.000347852
30,0.001440054,0.001206083,0.001173536,0.001107392,0.001032449,0.000988289,0.00097978,0.000905355,0.000897095,0.000835326,0.000745485,0.000813944,0.000717875,0.000739653,0.000738608,0.000637498,0.000648195,0.000648066,0.000605044,0.000635215,0.000586111,0.000613605,0.00050161,0.000590556,0.00059022,0.000571953,0.000484213,0.000561582,0.000564312,0.00054626,0.000517639,0.000532467,0.000469363,0.00042661,0.000527745,0.000530872,0.00045509,0.000427169,0.00043334,0.000412679,0.000406312,0.000388275,0.000457821,0.000436007,0.000436941,0.000459691,0.000411394,0.00048082,0.000462674,0.00043958,0.000382263,0.000393639,0.000474835,0.000472521,0.000364647,0.000387629,0.000385849,0.000386578,0.000366992,0.000403293,0.000365963,0.000334137,0.000378357,0.00033083
31,0.00149442,0.001246882,0.001232044,0.001167676,0.001082841,0.001056261,0.001034202,0.000968193,0.000952094,0.000885594,0.000819392,0.000845045,0.000747547,0.000694907,0.000692322,0.000721168,0.000765694,0.000690861,0.00059601,0.000645733,0.000659996,0.000513731,0.000603682,0.000529178,0.000651036,0.00062729,0.000500026,0.000575203,0.000499132,0.000547966,0.000587968,0.000556648,0.000524895,0.000490363,0.000555468,0.000513648,0.000541973,0.000583381,0.000526505,0.000484148,0.000438351,0.00049861,0.000488274,0.000471998,0.000422161,0.000431995,0.000508875,0.000478048,0.000444089,0.000481643,0.000495213,0.000490343,0.000445656,0.000454596,0.000424497,0.000365845,0.000365893,0.00041076,0.000422461,0.000355653,0.000420772,0.000395758,0.000402399,0.000410703
