Age,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
20,0.000933886,0.000783111,0.000647583,0.000631198,0.000578104,0.000555177,0.000608924,0.00053901,0.000544138,0.000476726,0.000408678,0.000461041,0.000387119,0.000481106,0.000425903,0.000480149,0.000368204,0.000404402,0.000404353,0.000517208,0.000419903,0.000444278,0.000418695,0.000441759,0.000425087,0.000417277,0.000411347,0.000435176,0.000356065,0.000389706,0.000353462,0.000382505,0.000329097,0.00031368,0.000315737,0.000328093,0.000329872,0.000340197,0.000322852,0.000292902,0.000303087,0.000326951,0.00034634,0.000254074,0.000286293,0.000323361,0.000297184,0.000309562,0.000319355,0.000312502,0.000312936,0.000298983,0.000292092,0.00029274,0.000300169,0.000259756,0.000212734,0.000249686,0.000249739,0.000239099,0.000187108,0.000212452,0.00020211,0.000191812
21,0.000988342,0.000854655,0.000712422,0.000694673,0.00057487,0.000592661,0.000616311,0.000588082,0.000568736,0.000496143,0.000444728,0.000494424,0.000490671,0.00047428,0.000456492,0.000398639,0.00044093,0.00038439,0.000379809,0.000433078,0.000400716,0.000419414,0.000478103,0.000426459,0.000423241,0.000439969,0.000375028,0.00036195,0.000348722,0.000347107,0.000321298,0.00034696,0.000333532,0.000311692,0.000308713,0.000300105,0.000286726,0.000318925,0.00035734,0.000338307,0.000306052,0.000332608,0.000318228,0.000326384,0.000320961,0.000353107,0.000374102,0.000296757,0.000360692,0.000291296,0.000327401,0.000298611,0.000282067,0.00030375,0.000278163,0.000251713,0.000266795,0.000274131,0.00026863,0.000184127,0.000240618,0.000196464,0.00020307,0.000223651
22,0.001102442,0.000882434,0.000815466,0.000727102,0.000659187,0.000632761,0.000631537,0.000631653,0.000631201,0.000518003,0.000547088,0.000477812,0.000455825,0.000435349,0.000463226,0.000442447,0.000421197,0.000416439,0.000441274,0.000428272,0.000432349,0.000453141,0.000414259,0.000353056,0.000396646,0.000398885,0.000474066,0.000452075,0.000371459,0.000367277,0.000362959,0.000343512,0.000289061,0.000320131,0.000317458,0.000360417,0.000280901,0.000297547,0.000324974,0.000294537,0.000364365,0.000314363,0.000289565,0.000311381,0.000313512,0.000288644,0.000319385,0.000332321,0.000358166,0.000323708,0.000309236,0.000282995,0.000331801,0.000290143,0.00028128,0.000256164,0.000260307,0.000272056,0.00021463,0.000201094,0.000226479,0.000194825,0.000210124,0.000237197
23,0.001106765,0.000910746,0.000850715,0.000800616,0.000664799,0.000662378,0.000667794,0.000657177,0.000619414,0.000555542,0.000557546,0.000525819,0.000500845,0.00047652,0.000476231,0.000480266,0.000463798,0.000415072,0.000445939,0.000453246,0.000383496,0.000445011,0.000406891,0.000424527,0.000435149,0.000367128,0.000504731,0.000430934,0.00039289,0.000433057,0.000401012,0.000322286,0.000293539,0.000315716,0.000313213,0.000359495,0.000318567,0.00031496,0.000331499,0.000296514,0.000358156,0.000325092,0.000278618,0.000311443,0.000306653,0.000341987,0.000265008,0.000331077,0.000267279,0.000352456,0.000305895,0.000302566,0.000308774,0.000326182,0.000302194,0.000246423,0.000237406,0.000247174,0.000263974,0.00026019,0.000252153,0.000232903,0.000215714,0.000248299
24,0.001157456,0.000996519,0.00085847,0.000816722,0.000732351,0.000683844,0.000696192,0.000678006,0.000665817,0.000596342,0.000582194,0.000513503,0.000393524,0.000448051,0.000517681,0.000505134,0.000498139,0.000410742,0.00053488,0.000435412,0.000407158,0.000418068,0.000450679,0.000444535,0.000459025,0.000442786,0.000416491,0.000425904,0.000388734,0.000446858,0.000305232,0.00037724,0.000325999,0.00032359,0.000310906,0.00028664,0.00034484,0.000331819,0.000350614,0.000337829,0.000339143,0.000333156,0.000349366,0.000319112,0.000335519,0.000302648,0.000385703,0.000324982,0.000334902,0.000357023,0.000299713,0.000334149,0.000286295,0.000283658,0.00025863,0.000282502,0.000302674,0.000270549,0.000228066,0.000262188,0.000246149,0.000229465,0.000212573,0.000238933
25,0.001262083,0.001023111,0.000942779,0.000869191,0.000801723,0.000726991,0.000765165,0.000702808,0.000694468,0.000642297,0.000546109,0.000549503,0.000562598,0.000583735,0.000555358,0.000521598,0.000477091,0.000508994,0.000425756,0.000491088,0.000472062,0.000454164,0.00048689,0.000384755,0.00044981,0.000447327,0.000432462,0.000458277,0.00038274,0.0003838,0.000355981,0.000433841,0.00039356,0.00039258,0.000323239,0.000319364,0.000354149,0.000328525,0.000361203,0.000333735,0.000338884,0.000343019,0.000334827,0.000314436,0.000308516,0.000357272,0.000336808,0.000387996,0.00029139,0.000358714,0.000315711,0.000349837,0.000306775,0.000327583,0.000275491,0.000299919,0.000249781,0.000277027,0.000301681,0.000246602,0.000278245,0.00025856,0.000257759,0.000249936
26,0.001336779,0.001117527,0.000970576,0.000938687,0.000870243,0.00077432,0.000813849,0.000713595,0.000727881,0.000668344,0.000575039,0.000608691,0.000565449,0.000550079,0.000554656,0.000568556,0.000481179,0.000468953,0.000514224,0.000530025,0.000440215,0.00046359,0.000425792,0.00047155,0.000548772,0.000473622,0.000400853,0.000464985,0.000490951,0.000447245,0.000441816,0.000387635,0.000400396,0.000402792,0.000387022,0.000366765,0.000361915,0.000344152,0.00032425,0.000386421,0.000341341,0.00034096,0.000403137,0.000342274,0.000355697,0.000373841,0.000302929,0.000348668,0.000355896,0.000348886,0.000392202,0.000328679,0.000381259,0.000336988,0.000323833,0.000341291,0.000312933,0.000317912,0.000285971,0.000282036,0.000288571,0.000235356,0.000266311,0.000274051
27,0.001353457,0.001128704,0.001047924,0.000990469,0.000928081,0.000847042,0.000839276,0.000762208,0.000742272,0.000708831,0.000508043,0.000577217,0.000624698,0.000555098,0.000568763,0.000575427,0.000526486,0.000553478,0.000543177,0.000471917,0.000507413,0.000471521,0.000541843,0.000442778,0.000439985,0.000522815,0.000466567,0.000534591,0.000445167,0.000539348,0.000459924,0.000432441,0.000397608,0.000438044,0.000343154,0.000366981,0.000362222,0.000369452,0.000328843,0.000392693,0.000406849,0.00032301,0.00044093,0.000384201,0.000466338,0.000396866,0.000319712,0.000383539,0.000354375,0.000389867,0.000368441,0.000353852,0.000359886,0.000344634,0.000382423,0.000313877,0.000265895,0.000321266,0.000314611,0.000345201,0.00034025,0.000292002,0.000289273,0.000241706
28,0.001381899,0.001170347,0.001119606,0.001026808,0.000976156,0.00084538,0.000861393,0.000811613,0.000813863,0.000722786,0.00059551,0.000686712,0.000584147,0.000605316,0.000648787,0.000663688,0.000596867,0.000548636,0.000687695,0.000533883,0.000526323,0.000522151,0.000513166,0.000452618,0.000521059,0.000493594,0.0004421,0.000538482,0.000507089,0.000417505,0.000437994,0.000434809,0.000448477,0.000444768,0.000447475,0.00039841,0.000397955,0.000360784,0.000421092,0.000418691,0.00039445,0.000418349,0.000413832,0.00035913,0.00036174,0.000442869,0.000335597,0.000391031,0.000448618,0.000384427,0.000345072,0.00034248,0.000402408,0.00036519,0.000361229,0.000409056,0.000315537,0.00031699,0.000355332,0.000370676,0.000318358,0.000336672,0.00034122,0.000351467
29,0.001457051,0.001223085,0.001196787,0.001055226,0.001002064,0.000984883,0.000966224,0.00086484,0.000848169,0.000795468,0.000689127,0.000732479,0.000766696,0.000748715,0.00065454,0.000604253,0.000591923,0.000593463,0.000540744,0.000601545,0.000541367,0.000586236,0.000552778,0.000535607,0.000551056,0.000496359,0.000510253,0.000573012,0.000583191,0.000528528,0.000467264,0.000465889,0.000448025,0.000491583,0.000423547,0.000454044,0.000456847,0.0003962,0.000461081,0.000408309,0.000387914,0.000427317,0.000383425,0.000434284,0.000396934,0.000412258,0.000456662,0.000407455,0.000370393,0.000403954,0.000390791,0.000391179,0.000445583,0.000400023,0.000376418,0.000351465,0.000379818,0.000370546,0.000393187,0.000300789,0.000334647,0.000328911,0.000293708,0.000339285
30,0.001476612,0.00124488,0.0012046,0.00112065,0.001051302,0.000986931,0.000968459,0.000908077,0.000903683,0.000821253,0.000751907,0.000822401,0.00074201,0.000750678,0.000764818,0.000665445,0.000659573,0.000681194,0.00059879,0.000666569,0.000607047,0.000628271,0.000518422,0.000585571,0.000595994,0.00059952,0.000503352,0.000557382,0.000582025,0.000525194,0.000531673,0.000537975,0.000491936,0.00043469,0.00052846,0.000542231,0.000470859,0.000429792,0.00046259,0.000409829,0.000418669,0.000378095,0.000488156,0.00045266,0.000434414,0.00047475,0.000425986,0.000477072,0.00046228,0.000458937,0.000399406,0.00039794,0.00048238,0.000471004,0.000393801,0.000415407,0.000407387,0.000388064,0.000406908,0.000424134,0.000371464,0.000345311,0.000408107,0.000354582
31,0.001555623,0.001310596,0.001229109,0.001185699,0.001124352,0.001047525,0.001056908,0.000990549,0.000953315,0.000899976,0.000834337,0.000874624,0.000759168,0.000707164,0.000710284,0.00073136,0.000744212,0.000691641,0.000615008,0.000662515,0.000645533,0.000560623,0.000608075,0.000554052,0.000655505,0.00065897,0.000511419,0.000563454,0.000521658,0.000547844,0.000575003,0.000566412,0.000520691,0.000507788,0.000550956,0.000505499,0.000528648,0.000571462,0.000531711,0.00049036,0.00045306,0.000504504,0.000536255,0.000476885,0.000467706,0.000455208,0.000507731,0.00048274,0.000461913,0.00048777,0.000485848,0.000510641,0.000478229,0.000452143,0.000435284,0.000368953,0.000397936,0.000418461,0.000427377,0.000386642,0.000432434,0.000400289,0.000426574,0.000441317
